Year,Argentina,Australia,Austria,Bahrain,Belgium,Bosnia and Herzegovina,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Developing Countries,Egypt Arab Rep.,Estonia,Finland,France,Germany,Greece,High Income Countries,Hong Kong China,Hungary,Iceland,India,Indonesia,Iran Islamic Rep.,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Korea Rep.,Latin America & Caribbean developing,Latvia,Lithuania,Luxembourg,Macedonia FYR,Malawi,Malaysia,Malta,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan China,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Venezuela RB,Vietnam
1990,N/A,26.33793460459,46.85210368417,N/A,N/A,N/A,N/A,N/A,26.54375813991,4.21752594537,N/A,N/A,N/A,N/A,N/A,21.69952582293,N/A,N/A,N/A,38.84822726454,26.53062016216,N/A,42.04963117849,14.10966768063,N/A,N/A,14.745911136,N/A,N/A,N/A,N/A,N/A,173.44652806978,N/A,N/A,N/A,N/A,5.89418887004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.99324919972,N/A,33.0521809808,N/A,N/A,N/A,N/A,N/A,1.05943702139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.38032518372,N/A,N/A,N/A,19.51285238226,27.13228555318,25.5924785462,18.3240848026,N/A,N/A,N/A,39.91317402896,N/A,N/A,N/A,43.48562453144,25.58378245797,N/A,N/A
1991,N/A,26.46850193487,37.10151491157,N/A,38.80189442844,N/A,N/A,N/A,27.01042340962,10.38734173587,N/A,N/A,N/A,N/A,N/A,24.80371617245,N/A,N/A,N/A,35.82092556067,23.80941109016,N/A,42.81071358335,17.70524674808,11.50246538477,N/A,17.10401969359,N/A,N/A,N/A,N/A,N/A,154.31918901019,19.17328357012,N/A,N/A,N/A,9.68893365633,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.98176135263,N/A,33.082469823,N/A,N/A,N/A,N/A,N/A,1.12096401551,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.38999964526,N/A,N/A,N/A,19.07458900523,42.92014715729,23.16286945923,18.05024907185,N/A,N/A,N/A,25.57120547263,N/A,N/A,N/A,46.87576444216,27.97503650952,N/A,N/A
1992,N/A,26.02922274217,31.53752142733,N/A,42.51066099642,N/A,N/A,N/A,25.24417020984,15.90005757641,N/A,N/A,N/A,N/A,N/A,31.94298309229,N/A,N/A,N/A,38.78688086214,25.87256705745,N/A,42.47059475879,25.63573338808,9.68419649734,N/A,28.04744322697,N/A,N/A,N/A,N/A,N/A,122.5661528303,20.66897612611,N/A,N/A,N/A,15.07358891899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.35992241537,N/A,36.39819339203,N/A,N/A,N/A,N/A,N/A,2.38796090574,N/A,N/A,30.78839246325,N/A,N/A,N/A,N/A,43.11530022334,N/A,N/A,N/A,17.57945725837,55.19868178036,20.55132406219,20.88995139364,N/A,N/A,N/A,16.1107995467,N/A,N/A,N/A,48.22303993646,31.36491578142,N/A,N/A
1993,N/A,27.63612438542,28.84429782892,N/A,42.50811527303,N/A,N/A,N/A,26.70465598443,16.40475632349,N/A,N/A,N/A,26.44253067648,N/A,38.0062015043,N/A,N/A,N/A,38.81070254704,25.64888871682,N/A,47.71632931167,34.78221510001,8.5960771496,N/A,21.82376386251,N/A,N/A,N/A,N/A,N/A,147.5631697229,27.84909293966,N/A,N/A,N/A,16.60837854061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.53523724238,N/A,37.83445526455,N/A,N/A,N/A,N/A,N/A,6.08296829125,N/A,N/A,35.30559077022,N/A,N/A,N/A,N/A,56.53355397952,N/A,N/A,N/A,18.15268917207,45.76962580954,19.96888809208,25.39690742845,N/A,N/A,N/A,24.56043411967,N/A,N/A,N/A,48.98706040948,33.63553758906,N/A,N/A
1994,N/A,34.00822180879,35.52493283927,N/A,48.62236895384,N/A,12.24025833394,N/A,28.02570111941,28.50961832498,N/A,N/A,N/A,42.71752544279,N/A,52.9128053582,N/A,N/A,N/A,41.52491238204,30.50947807939,N/A,52.70218931701,44.76736191055,13.33622327108,N/A,34.47948745112,N/A,N/A,N/A,N/A,N/A,166.77276732596,27.97945865083,N/A,N/A,N/A,24.43878376086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.79754643321,N/A,46.81913194345,N/A,N/A,N/A,N/A,N/A,10.39155863398,N/A,49.24192154371,43.85402614966,N/A,N/A,N/A,23.38809370423,72.61138149285,N/A,N/A,N/A,21.73362000332,71.95754235584,25.75362295281,31.34528001303,93.06077755621,N/A,N/A,20.79509994785,N/A,N/A,N/A,53.90026811249,36.2303953508,N/A,N/A
1995,N/A,33.98690210593,35.29171358993,N/A,52.61066001819,N/A,10.99475331443,N/A,28.86614938539,33.30579590281,N/A,N/A,N/A,25.60447553279,29.63374428868,46.02608661415,N/A,N/A,26.96477029454,41.17721351076,33.89669207304,38.70853035349,56.98221067324,42.1633016962,9.63269114024,N/A,27.6594842047,74.61392580856,N/A,61.17846330789,N/A,N/A,157.74876461791,27.80706511762,N/A,N/A,N/A,18.61888059349,N/A,N/A,N/A,N/A,N/A,102.94943520008,24.94236978354,13.82295953083,N/A,55.07516761135,N/A,N/A,N/A,N/A,N/A,10.94077137735,N/A,37.76940658916,44.07571300445,N/A,N/A,35.17076704545,20.37168381077,72.967068398,N/A,N/A,N/A,22.51277027453,48.30663109284,31.08571536385,37.94661734602,83.21106237979,235.65852157714,N/A,24.71689451936,N/A,N/A,N/A,58.12789405571,42.91526498926,N/A,N/A
1996,23.91517635655,40.09999753533,37.3271645089,N/A,62.57487055217,N/A,15.10200062693,N/A,34.27985476494,32.48026939104,N/A,N/A,N/A,29.71150280444,32.199885143,48.89240842576,N/A,N/A,27.95160250316,45.62223348736,39.62967109176,39.7220180723,65.71685897827,53.82248848553,16.54736850956,N/A,25.44385283198,89.16139821844,N/A,74.20793293723,N/A,N/A,165.58066900732,26.49640436178,N/A,N/A,306.33104265185,21.00516495566,N/A,N/A,N/A,N/A,N/A,118.0173795748,23.96050300785,16.74143954451,N/A,67.92361121864,N/A,N/A,23.03616482255,N/A,N/A,10.54254180047,176.24132204769,56.63710674267,49.01034922928,N/A,N/A,53.21030720428,21.61267327175,78.4022169851,N/A,N/A,N/A,26.72446084387,36.58825015108,40.30775205067,46.21229127186,85.58155463442,209.35413606092,N/A,22.6338668196,N/A,N/A,N/A,66.2520745877,54.84440450537,N/A,N/A
1997,31.96844346393,42.72982720006,39.26318258983,N/A,72.0907451358,N/A,24.86574486447,N/A,41.82612921894,34.83664967744,N/A,N/A,38.36096075538,26.19825158969,40.19254309265,50.56327840088,N/A,N/A,38.37199351168,51.5712644651,50.09615367353,54.78761305302,76.36349779244,62.64894025164,29.61184879123,N/A,27.90046504086,80.88636098782,46.61675485866,87.74680573915,27.99459508596,80.63165701838,130.09516925239,29.21553834104,N/A,N/A,286.12211602473,28.17183219717,N/A,N/A,N/A,N/A,N/A,95.65990003395,22.5705529514,22.29728989396,N/A,88.69578022118,N/A,211.54659004877,30.48164428416,N/A,N/A,13.17442559568,138.27202679082,57.88162690695,67.55690874686,N/A,63.32965084342,132.30269587363,27.60642217664,65.00854378313,56.97089082905,N/A,N/A,35.71044388756,39.78504657683,51.73422671092,56.70224160967,115.45663023525,93.50412095292,25.72753468486,35.30163251171,N/A,56.77023470587,N/A,81.9310895745,71.06273017095,N/A,N/A
1998,23.74431210316,37.92748219496,39.9051256239,N/A,96.45047960314,N/A,20.79931656103,N/A,41.09265347577,25.03706596512,N/A,N/A,28.84917009412,21.09107912499,46.08975391946,34.71671058297,N/A,N/A,53.67110582458,66.44743409438,66.75488381892,80.05316860543,88.29573933744,44.17201572967,28.09143257347,N/A,21.65608093015,15.28213849414,45.82994009586,121.90380601391,26.93020000311,107.61766247132,100.60677229776,30.6997297556,N/A,N/A,120.41758828885,22.45459284614,N/A,N/A,N/A,N/A,N/A,34.84068302731,23.49671286592,19.0392439775,N/A,115.01215362844,N/A,187.30978809986,28.05336390045,N/A,N/A,10.19480052967,67.39992757898,50.43012203291,106.1787457966,N/A,38.01490080446,54.90777508228,26.85019366437,36.86618221628,38.60330188142,N/A,N/A,51.66364548853,31.12518266057,58.65005981741,77.11799038133,91.31537465482,39.09179028459,24.77500221315,34.31028607734,N/A,25.04638320124,N/A,97.2631934323,82.37348496087,N/A,N/A
1999,20.79164684443,43.27263618318,33.7301777271,N/A,95.57480491787,N/A,15.82106518116,N/A,42.33465187213,25.25162523513,N/A,N/A,23.96091156779,20.35573270097,42.86839496664,38.35966385694,N/A,N/A,87.81242463677,77.5013187278,67.93691939947,153.44196450712,104.66310583167,59.23152590416,24.06013603855,N/A,25.60263500956,25.12817041302,77.41779262359,122.66019496193,31.69117203536,117.81136355164,126.81164034219,30.38579426497,N/A,N/A,274.26756437741,20.90490290399,N/A,N/A,68.47076199489,N/A,N/A,47.6531462376,37.85397639608,22.07536326287,N/A,125.19177270311,N/A,37.96174980804,26.51363325464,N/A,N/A,9.12997034047,84.09812202658,43.47725651757,93.0821412474,N/A,16.87136897799,7.58486176345,25.00721466641,55.0474216801,26.17306507707,N/A,N/A,54.64111882322,25.46091792466,65.51058707994,75.03628599532,90.20352346603,50.58970670826,27.07689519884,35.49720482837,N/A,7.92810736971,N/A,105.54330543852,99.93932679475,N/A,N/A
