Country,Correlation,Valid_Overlapping_Rows,Reason_If_NA
Argentina,0.14818794524577175,30,
Australia,-0.34536777064553986,35,
Austria,-0.0014378685372072016,35,
Bahrain,-0.28302302625583514,21,
Belgium,0.1414211784261831,35,
Bosnia and Herzegovina,-0.24867664407044718,17,
Brazil,-0.2699929494033008,32,
Bulgaria,-0.31807941822774066,26,
Canada,-0.36217977083711395,35,
Chile,-0.4105520812127472,35,
China,-0.2253336336738915,21,
Colombia,-0.1204629194808121,16,
Croatia,-0.21939175004673492,29,
Denmark,-0.11373535768567468,31,
Estonia,-0.3263988868052142,26,
Finland,-0.27808241966941255,31,
France,-0.10860145626819605,35,
Germany,-0.044805065830121234,35,
Greece,-0.21436788004908916,31,
Hungary,-0.025691792403787148,35,
Iceland,0.1003340989257915,17,
India,-0.36646076816144535,35,
Indonesia,-0.285207440202412,31,
Ireland,-0.3738715647022732,31,
Israel,-0.1386366825695893,29,
Italy,-0.24767141589297842,29,
Japan,-0.23519095912229682,35,
Jordan,-0.04170406794096586,35,
Kazakhstan,-0.026953408410932973,26,
Kenya,-0.061450416715795465,18,
Latvia,-0.5306485863669528,26,
Lithuania,-0.39412326728825475,26,
Luxembourg,-0.21445884159202686,27,
Malawi,-0.04599286189847391,19,
Malaysia,-0.49075844991964046,31,
Malta,-0.3478857869795286,31,
Mexico,-0.3267300090215283,35,
Morocco,-0.17745238333629743,20,
Netherlands,-0.0667487339429894,35,
New Zealand,-0.4932241372390649,23,
Nigeria,-0.09690919567685981,29,
Norway,-0.23985099734242488,30,
Oman,0.056696967459094576,25,
Pakistan,-0.11704011696113645,20,
Peru,-0.21271624256853522,35,
Philippines,-0.09249621690282919,30,
Poland,-0.3191012514392014,32,
Portugal,-0.23044522524530306,34,
Qatar,-0.05507287739664799,22,
Romania,-0.09787612887701305,29,
Russian Federation,-0.20604291504596084,31,
Saudi Arabia,0.05192407201682601,32,
Singapore,-0.34045148560154354,35,
Slovak Republic,-0.540108068844011,29,
Slovenia,-0.4819696859008575,23,
South Africa,0.2162718626872827,24,
Spain,-0.38049222188061177,35,
Sri Lanka,-0.1424457359143022,35,
Sweden,0.05223039093503943,35,
Switzerland,0.05571028813518819,35,
Thailand,-0.37923226608777694,31,
Tunisia,-0.19956780206654287,29,
Uganda,-0.4327230243254353,22,
Ukraine,-0.49900844636053204,25,
United Arab Emirates,-0.19694097470292948,20,
United Kingdom,-0.19235874717500206,35,
United States,-0.41809173389329346,35,
